Family,Genus,Species,Genus corrected,Species corrected,Growth form,Plant traits,Plant trait value,Trait unit,Minimun value,Maximum value,Trait range mean value,Trait range unit,Sample size value,Sample unit,Origin,Deciduousness,Succession,Nitrogen fixing,Shade tolerance,Dispersal syndrome,Dispersal group,Pollination,Pollination group,Sexual system,Reproductive system,Resprouting capsule,Flower color 1,Flower color 2,Flowering period start,Flowering period end,Flower shape,Odour,Anthesis time,Fruit color,Fruit period start,Fruit period end,Fruit type,Fruit dehiscence,Fruit secundary structure,Seed color,Seed arillus,Arrilus color,Usefulness,Usefulness group,Source,Study Date,Study Country,Study State,Study City,Study Area,Study Bioma,Physiognomy type,Database DOI,Full Reference APA Database,Reference citation,Paper DOI,Full reference APA,Created At,Created By,Modified At,Modified By,Editor Name,Editor Email,Additional Notes
Bromeliaceae,Aechmea,fasciata,,,,nectar_concentration_brix,28,%,,,2.34,SD,,,native,,,,,,,,,,,,,,december,february,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,fulgens,,,,corolla_length,20,mm,,,1.4,SD,17,hour,native,,,,,,,,,,,,red,blue,january,july,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,fulgens,,,,nectar_volume,4.45,uL/hour,,,0.53,SD,17,hour,native,,,,,,,,,,,,red,blue,january,july,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,fulgens,,,,nectar_concentration_brix,30.6,%,,,1.14,SD,17,hour,native,,,,,,,,,,,,red,blue,january,july,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,gamosepala,,,,corolla_length,13.46,mm,,,2.1,SD,50,hour,native,,,,,,,,,,,,red,blue,july,march,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,gamosepala,,,,nectar_volume,3.36,uL/hour,,,0.8,SD,50,hour,native,,,,,,,,,,,,red,blue,july,march,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,gamosepala,,,,nectar_concentration_brix,28.49,%,,,3.34,SD,50,hour,native,,,,,,,,,,,,red,blue,july,march,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,gustavoi,,,,corolla_length,63.5,mm,,,,,,,native,,,,,,,,,,,,white,red,may,august,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,gustavoi,,,,nectar_volume,6,uL/hour,,,1.76,SD,,,native,,,,,,,,,,,,white,red,may,august,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,gustavoi,,,,nectar_concentration_brix,27.5,%,,,1.97,SD,,,native,,,,,,,,,,,,white,red,may,august,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
